
0.0500509, -0.00164622
0.107624, -0.00589015
0.165669, -0.0106423
0.232363, -0.0159878
0.287167, -0.0197851
0.345483, -0.0228718
0.406843, -0.024745
0.469946, -0.0251728
0.533653, -0.0238397
0.596112, -0.0199483
0.656467, -0.0138345
0.716223, -0.00474068
0.775998, 0.00668143
0.834536, 0.0196168
0.893623, 0.0348105
0.953156, 0.0516569
1.01465, 0.0707636
1.07634, 0.0910025
1.13944, 0.11269
1.2039, 0.136104
1.26982, 0.160208
1.33689, 0.185212
1.40497, 0.210945
1.47406, 0.236911
1.54352, 0.262978
1.61177, 0.287694
1.68111, 0.312493
1.75131, 0.337642
1.79864, 0.354253
1.84651, 0.370252
1.89486, 0.385715
1.94356, 0.40096
1.99266, 0.415732
2.04216, 0.429869
2.09208, 0.443255
2.14238, 0.455894
2.19298, 0.467941
2.24377, 0.479855
2.29471, 0.491697
2.34584, 0.503281
2.39716, 0.514486
2.44863, 0.525477
2.50021, 0.536394
2.55185, 0.547417
2.60362, 0.558161
2.6555, 0.568689
2.70742, 0.579368
2.75937, 0.590173
2.81131, 0.601261
2.86316, 0.612966
2.91487, 0.625429
2.96636, 0.638948
3.01771, 0.653107
3.06905, 0.667444
3.12033, 0.682045
3.17153, 0.697061
3.22262, 0.712502
3.27349, 0.728722
3.32416, 0.745643
3.37478, 0.762742
3.42545, 0.779745
3.47609, 0.796892
3.52682, 0.813801
3.5778, 0.829972
3.62911, 0.845125
3.6806, 0.859675
3.73214, 0.87408
3.78376, 0.888218
3.83556, 0.901708
3.88752, 0.914593
3.93958, 0.927108
3.9917, 0.939414
4.0438, 0.951808
4.09597, 0.963889
4.14821, 0.97572
4.20042, 0.987672
4.25262, 0.999725
4.3048, 1.01185
4.35701, 1.02384
4.40917, 1.03609
4.46128, 1.04857
4.51336, 1.06112
4.56552, 1.07339
4.61773, 1.08546
4.6699, 1.09769
4.722, 1.11023
4.77395, 1.12338
4.82571, 1.13727
4.87729, 1.15181
4.92882, 1.1665
4.9804, 1.18107
5.03188, 1.19595
5.08329, 1.2111
5.13467, 1.22635
5.18607, 1.24152
5.23744, 1.25682
5.28883, 1.27204
5.34017, 1.2874
5.39148, 1.30289
5.44275, 1.31851
5.49399, 1.33423
5.54532, 1.34965
5.59683, 1.36448
5.64838, 1.37913
5.69996, 1.3937
5.75162, 1.40798
5.80344, 1.42166
5.85532, 1.43513
5.90722, 1.44852
5.95905, 1.46217
6.01079, 1.47616
6.06249, 1.49033
6.11416, 1.50455
6.16588, 1.51865
6.21756, 1.53286
6.26927, 1.54697
6.32094, 1.56121
6.37258, 1.57559
6.42419, 1.59005
6.47582, 1.60442
6.52743, 1.61889
6.57908, 1.63323
6.6308, 1.6473
6.68268, 1.66077
6.73464, 1.67391
6.78669, 1.68672
6.83879, 1.6993
6.89095, 1.71163
6.94317, 1.72371
6.99542, 1.73566
7.0477, 1.7475
7.09996, 1.75942
7.15224, 1.77122
7.20447, 1.78328
7.25655, 1.79594
7.30859, 1.80878
7.36061, 1.8217
7.41256, 1.83491
7.46434, 1.84874
7.51596, 1.86316
7.56753, 1.87778
7.61903, 1.89264
7.67041, 1.90791
7.72172, 1.92341
7.77294, 1.9392
7.82397, 1.95561
7.87493, 1.97221
7.92598, 1.98854
7.9771, 2.00467
8.02828, 2.0206
8.07951, 2.03634
8.13082, 2.05185
8.18219, 2.06715
8.23363, 2.08221
8.28514, 2.09704
8.33673, 2.11159
8.38848, 2.12553
8.44029, 2.13926
8.49213, 2.15289
8.544, 2.16638
8.59595, 2.17957
8.64797, 2.19252
8.70001, 2.20535
8.75208, 2.21806
8.80409, 2.23103
8.85604, 2.24421
8.90794, 2.25762
8.95978, 2.27123
9.0116, 2.28491
9.06346, 2.29848
9.11528, 2.31217
9.16713, 2.32576
9.2189, 2.33964
9.27057, 2.3539
9.32219, 2.36834
9.37384, 2.38266
9.42546, 2.39709
9.47715, 2.41126
9.52894, 2.42507
9.58078, 2.43872
9.63257, 2.4525
9.68445, 2.46599
9.73648, 2.47887
9.78859, 2.4914
9.84076, 2.50372
9.89298, 2.51579
9.94526, 2.52763
9.99747, 2.53975
10.0496, 2.55208
10.1017, 2.56462
10.1538, 2.57736
10.2058, 2.59036
10.2577, 2.60395
10.3094, 2.61788
10.3611, 2.63202
10.4127, 2.64644
10.4642, 2.66147
10.5156, 2.67672
10.5669, 2.69208
10.6182, 2.70773
10.6694, 2.72364
10.7205, 2.73967
10.7716, 2.75598
10.8226, 2.77251
10.8736, 2.78891
10.9247, 2.80505
10.976, 2.82062
11.0273, 2.83602
11.0787, 2.85117
11.1304, 2.86557
11.1822, 2.87927
11.2342, 2.89241
11.2862, 2.90537
11.3381, 2.91845
11.3901, 2.9316
11.4422, 2.94442
11.4943, 2.95682
11.5465, 2.96901
11.5987, 2.98132
11.6509, 2.99351
11.703, 3.00595
11.7551, 3.0186
11.8072, 3.03132
11.8593, 3.04374
11.9115, 3.05595
11.9636, 3.06832
12.0158, 3.08082
12.0679, 3.09341
12.12, 3.10589
12.172, 3.11864
12.2241, 3.13162
12.276, 3.14484
12.3279, 3.15829
12.3797, 3.17199
12.4314, 3.18606
12.4831, 3.20033
12.5348, 3.21449
12.5864, 3.22893
12.638, 3.2436
12.6895, 3.25814
12.7412, 3.27259
12.7927, 3.28734
12.8442, 3.30231
12.8957, 3.31714
12.9472, 3.3317
12.9989, 3.34605
13.0506, 3.36034
13.1022, 3.37475
13.1539, 3.38888
13.2056, 3.40278
13.2574, 3.41657
13.3093, 3.43026
13.3611, 3.44408
13.4128, 3.45818
13.4643, 3.47285
13.5158, 3.48771
13.5673, 3.50262
13.6188, 3.51741
13.6704, 3.53209
13.722, 3.54653
13.7737, 3.56059
13.8256, 3.57409
13.8775, 3.5874
13.9294, 3.60065
13.9813, 3.61416
14.0331, 3.62785
14.085, 3.64139
14.1368, 3.65503
14.1886, 3.66877
14.2405, 3.68222
14.2925, 3.69544
14.3444, 3.70859
14.3964, 3.72188
14.4483, 3.73526
14.5002, 3.74853
14.5521, 3.76206
14.6039, 3.77582
14.6556, 3.78965
14.7075, 3.80319
14.7594, 3.81651
14.8114, 3.82977
14.8633, 3.84315
14.9152, 3.85643
14.9671, 3.86982
15.019, 3.88334
15.0708, 3.89711
15.1225, 3.9111
15.1742, 3.92533
15.2257, 3.93993
15.2773, 3.95474
15.3287, 3.96983
15.3799, 3.98552
15.4311, 4.00142
15.4823, 4.01742
15.5334, 4.03371
15.5843, 4.05024
15.6353, 4.0669
15.6861, 4.08386
15.7368, 4.10143
15.7873, 4.11921
15.8378, 4.13723
15.8882, 4.15546
15.9387, 4.17358
15.9891, 4.1916
16.0397, 4.2094
16.0903, 4.227
16.141, 4.24438
16.1918, 4.26154
16.2426, 4.27862
16.2935, 4.2956
16.3442, 4.31283
16.3949, 4.33028
16.4455, 4.34781
16.4961, 4.36558
16.5466, 4.38356
16.597, 4.4018
16.6471, 4.42079
16.6969, 4.4406
16.7464, 4.4612
16.7956, 4.48258
16.8444, 4.50463
16.893, 4.52725
16.9413, 4.55059
16.9892, 4.57462
